Hosp_Name,Hosp_ID,Hosp_Address,City,State,Action,DT_Action
Community Medical Center,1417,99 State Highway 37 West,Toms River,NJ,Closure Notice,2022-02
Community Memorial Hospital,1426,809 Jackson Street,Burke,SD,CAP Request,2023-07
Community Memorial Hospital,1426,809 Jackson Street,Burke,SD,Closure Notice,2023-07
Community Regional Medical Center - Fresno,1432,2823 Fresno  Street,Fresno,CA,Warning Notice,2023-08
Community Regional Medical Center - Fresno,1432,2823 Fresno  Street,Fresno,CA,Closure Notice,2023-11
Concord Hospital,1443,250 Pleasant Street,Concord,NH,Warning Notice,2021-05
Concord Hospital,1443,250 Pleasant Street,Concord,NH,CAP Request,2021-10
Concord Hospital,1443,250 Pleasant Street,Concord,NH,Closure Notice,2022-01
Concord Hospital-Franklin,2200,15 Aiken Ave,Franklin,NH,Warning Notice,2023-02
Concord Hospital-Franklin,2200,15 Aiken Ave,Franklin,NH,Closure Notice,2023-05
Concord Hospital-Laconia,3326,80 Highland Street,Laconia,NH,Warning Notice,2021-09
Concord Hospital-Laconia,3326,80 Highland Street,Laconia,NH,Closure Notice,2022-07
Cone Health Wesley Long Hospital,7389,2400 West Friendly Avenue,Greensboro,NC,Warning Notice,2021-07
Cone Health Wesley Long Hospital,7389,2400 West Friendly Avenue,Greensboro,NC,Closure Notice,2022-01
Conemaugh Memorial Medical Center - Lee Campus,7636,320 Main Street,Johnstown,PA,CAP Request,2023-05
Conemaugh Memorial Medical Center - Lee Campus,7636,320 Main Street,Johnstown,PA,Closure Notice,2023-09
Connecticut Childrens Medical Center,1452,282 Washington Street,Hartford,CT,Warning Notice,2023-01
Connecticut Childrens Medical Center,1452,282 Washington Street,Hartford,CT,Closure Notice,2023-05
Conway Regional Medical Center,1463,2302 College Avenue,Conway,AR,Warning Notice,2021-09
Conway Regional Medical Center,1463,2302 College Avenue,Conway,AR,Closure Notice,2022-06
Conway Regional Rehabilitation Hospital,1464,2210 Robinson Street,Conway,AR,Met Requirements,2023-06
Cookeville Regional Medical Center,1469,1 Medical Center Boulevard,Cookeville,TN,Warning Notice,2021-10
Cookeville Regional Medical Center,1469,1 Medical Center Boulevard,Cookeville,TN,CAP Request,2022-07
Cookeville Regional Medical Center,1469,1 Medical Center Boulevard,Cookeville,TN,Closure Notice,2022-10
Cooperman Barnabas Medical Center,5508,94 Old Short Hills Road,Livingston,NJ,Warning Notice,2021-04
Cooperman Barnabas Medical Center,5508,94 Old Short Hills Road,Livingston,NJ,CAP Request,2021-09
Cooperman Barnabas Medical Center,5508,94 Old Short Hills Road,Livingston,NJ,Closure Notice,2022-07
Cooperman Barnabas Medical Center,5508,94 Old Short Hills Road,Livingston,NJ,Met Requirements,2023-05
Copley Hospital,1476,528 Washington Highway,Morrisville,VT,Warning Notice,2023-01
Copley Hospital,1476,528 Washington Highway,Morrisville,VT,CAP Request,2023-04
Copley Hospital,1476,528 Washington Highway,Morrisville,VT,Closure Notice,2023-06
Coral Gables Hospital,1484,3100 Douglas Rd,Coral Gables,FL,Warning Notice,2021-10
Coral Gables Hospital,1484,3100 Douglas Rd,Coral Gables,FL,CAP Request,2022-10
Coral Gables Hospital,1484,3100 Douglas Rd,Coral Gables,FL,Closure Notice,2022-12
Corpus Christi Medical Center - Doctors Regional,6679,3315 S Alameda St,Corpus Christi,TX,Warning Notice,2023-06
Corpus Christi Medical Center - Doctors Regional,6679,3315 S Alameda St,Corpus Christi,TX,Closure Notice,2023-10
Corpus Christi Medical Center Bay Area,6678,7101 S. Padre Island Dr,Corpus Christi,TX,Met Requirements,2023-11
Cottage Hospital,1516,90 Swiftwater Road,Woodsville,NH,Warning Notice,2023-04
Cottage Hospital,1516,90 Swiftwater Road,Woodsville,NH,Closure Notice,2023-08
Covenant Medical Center,1525,3615 19th Street,Lubbock,TX,Warning Notice,2021-07
Covenant Medical Center,1525,3615 19th Street,Lubbock,TX,CAP Request,2022-01
Covenant Medical Center,1525,3615 19th Street,Lubbock,TX,Closure Notice,2023-04
Crawford County Memorial Hospital,1543,100 Medical Parkway,Denison,IA,Warning Notice,2023-01
Crawford County Memorial Hospital,1543,100 Medical Parkway,Denison,IA,Closure Notice,2023-05
Crescent Regional Hospital,1550,2600 West Pleasant Run Road,Lancaster,TX,Warning Notice,2023-02
Crescent Regional Hospital,1550,2600 West Pleasant Run Road,Lancaster,TX,CAP Request,2023-05
Crescent Regional Hospital,1550,2600 West Pleasant Run Road,Lancaster,TX,Closure Notice,2023-09
Crestwood Medical Center,1551,One Hospital Drive,Huntsville,AL,Met Requirements,2023-01
Crook County Medical Services District,1564,713 Oak Street,Sundance,WY,Warning Notice,2023-02
Crook County Medical Services District,1564,713 Oak Street,Sundance,WY,CAP Request,2023-06
Crook County Medical Services District,1564,713 Oak Street,Sundance,WY,Closure Notice,2023-09
Crossing Rivers Health Medical Center,1569,37868 US Hwy 18,Prairie Du Chien,WI,Met Requirements,2023-01
CSM Clinica Utuado,1577,Antonio R. Barcelo Street #5,Utuado,PR,Met Requirements,2023-07
Cypress Creek Hospital,1599,17750 Cali Drive,Houston,TX,Warning Notice,2023-02
Cypress Creek Hospital,1599,17750 Cali Drive,Houston,TX,Closure Notice,2023-06
Dallas County Medical Center,1609,201 North Clifton Street,Fordyce,AR,Warning Notice,2023-04
Dallas County Medical Center,1609,201 North Clifton Street,Fordyce,AR,CAP Request,2023-09
Dallas County Medical Center,1609,201 North Clifton Street,Fordyce,AR,Closure Notice,2023-11
Dana-Farber Cancer Institute,1613,450 Brookline Avanue,Boston,MA,Met Requirements,2023-05
Danbury Hospital,1614,24 Hospital Ave,Danbury,CT,Warning Notice,2021-12
Danbury Hospital,1614,24 Hospital Ave,Danbury,CT,Closure Notice,2022-03
Daniels Memorial Healthcare Center,1615,105 5th Avenue East,Scobey,MT,Met Requirements,2023-12
Danville Hospital (Main Campus),2614,1000 East Main Street,Danville,IN,Warning Notice,2023-04
Danville Hospital (Main Campus),2614,1000 East Main Street,Danville,IN,Closure Notice,2023-07
Daviess Community Hospital,1620,1314 East Walnut St,Washington,IN,Warning Notice,2023-01
Daviess Community Hospital,1620,1314 East Walnut St,Washington,IN,Closure Notice,2023-04
Davis Hospital & Medical Center,1622,1600 West Antelope Drive,Layton,UT,Warning Notice,2022-12
Davis Hospital & Medical Center,1622,1600 West Antelope Drive,Layton,UT,Closure Notice,2023-04
Davis Medical Center,1623,812 Gorman Avenue,Elkins,WV,Met Requirements,2023-04
Dch Regional Medical Center,1630,809 University Boulevard East,Tuscaloosa,AL,Warning Notice,2021-05
Dch Regional Medical Center,1630,809 University Boulevard East,Tuscaloosa,AL,CAP Request,2021-10
Dch Regional Medical Center,1630,809 University Boulevard East,Tuscaloosa,AL,Closure Notice,2022-01
Decatur County Memorial Hospital,1638,720 N Lincoln St,Greensburg,IN,Warning Notice,2023-01
Decatur County Memorial Hospital,1638,720 N Lincoln St,Greensburg,IN,CAP Request,2023-04
Decatur County Memorial Hospital,1638,720 N Lincoln St,Greensburg,IN,Closure Notice,2023-06
Decatur Health,1637,810 W Columbia Street,Oberlin,KS,Warning Notice,2023-01
Decatur Health,1637,810 W Columbia Street,Oberlin,KS,Closure Notice,2023-05
Decatur Morgan Hospital,1640,"1201 Seventh Street, Southeast",Decatur,AL,Met Requirements,2023-10
Del Sol Medical Center,1652,10301 Gateway Blvd W,El Paso,TX,Met Requirements,2023-11
Delhi Hospital ,5336,407 Cincinnati St,Delhi,LA,Met Requirements,2023-06
Delray Medical Center,1660,5352 Linton Blvd,Delray Beach,FL,Warning Notice,2023-05
Delray Medical Center,1660,5352 Linton Blvd,Delray Beach,FL,Closure Notice,2023-08
Desert Parkway Behavioral Healthcare Hospital,1674,3247 S Maryland Parkway,Las Vegas,NV,Warning Notice,2023-02
Desert Parkway Behavioral Healthcare Hospital,1674,3247 S Maryland Parkway,Las Vegas,NV,CAP Request,2023-05
Desert Parkway Behavioral Healthcare Hospital,1674,3247 S Maryland Parkway,Las Vegas,NV,Closure Notice,2023-10
Desert Springs Hospital Medical Center,1676,2075 East Flamingo Road,Las Vegas,NV,Warning Notice,2021-12
Desert Springs Hospital Medical Center,1676,2075 East Flamingo Road,Las Vegas,NV,Closure Notice,2022-04
Desert View Hospital,1678,360 South Lola Lane,Pahrump,NV,Met Requirements,2023-01
Desoto Memorial Hospital,1680,900 N Robert Ave,Arcadia,FL,Warning Notice,2021-09
Desoto Memorial Hospital,1680,900 N Robert Ave,Arcadia,FL,Closure Notice,2022-06
DHR Health,1722,5501 South Mccoll,Edinburg,TX,Warning Notice,2023-05
DHR Health,1722,5501 South Mccoll,Edinburg,TX,Closure Notice,2023-09
Dignity Health - Arizona General Hospital Laveen,64,7171 South 51st Avenue,Laveen,AZ,Met Requirements,2022-12
Dignity Health - St. Mary Medical Center,6415,"1050 Linden Avenue, Box 887",Long Beach,CA,Met Requirements,2022-12
Dignity Health Arizona General Hospital Mesa,1696,9130 East Elliot Road,Mesa,AZ,Met Requirements,2022-12
Dignity Health- California Hospital Medical Center,891,1401 S Grand Avenue,Los Angeles,CA,Met Requirements,2022-12
Dignity Health Saint Rose Dominican North Las Vegas Campus,1699,1550 W Craig Ranch,Las Vegas,NV,Warning Notice,2021-09
Dignity Health Saint Rose Dominican North Las Vegas Campus,1699,1550 W Craig Ranch,Las Vegas,NV,Closure Notice,2022-11
Dignity Health St. Rose Dominican Hospitals - Rose De Lima Campus,6429,102 East Lake Mead Parkway,Henderson,NV,Warning Notice,2021-09
Dignity Health St. Rose Dominican Hospitals - Rose De Lima Campus,6429,102 East Lake Mead Parkway,Henderson,NV,Closure Notice,2022-06
Dignity Health St. Rose Dominican Hospitals - Siena Campus,6431,3001 Saint Rose Parkway,Henderson,NV,Warning Notice,2021-09
Dignity Health St. Rose Dominican Hospitals - Siena Campus,6431,3001 Saint Rose Parkway,Henderson,NV,Closure Notice,2022-05
Dignity Health St. Rose Dominican's Blue Diamond Campus,1695,4855 Blue Diamond Road,Las Vegas,NV,Warning Notice,2023-04
Dignity Health St. Rose Dominican's Blue Diamond Campus,1695,4855 Blue Diamond Road,Las Vegas,NV,Closure Notice,2023-08
"Dignity Health-Saint Rose Dominican, West Flamingo Campus",1700,9880 West Flamingo Road,Las Vegas,NV,Warning Notice,2023-04
"Dignity Health-Saint Rose Dominican, West Flamingo Campus",1700,9880 West Flamingo Road,Las Vegas,NV,Closure Notice,2023-08
Dignity Health-St. Rose Dominican Sahara Campus,1701,4980 W. Sahara Avenue Las Vegas,Las Vegas,NV,Warning Notice,2021-08
Dignity Health-St. Rose Dominican Sahara Campus,1701,4980 W. Sahara Avenue Las Vegas,Las Vegas,NV,Closure Notice,2022-10
Dignity Health-St. Rose Dominican San Martin Campus,6430,8280 West Warm Springs Road,Las Vegas,NV,Warning Notice,2021-09
Dignity Health-St. Rose Dominican San Martin Campus,6430,8280 West Warm Springs Road,Las Vegas,NV,Closure Notice,2022-06
Doctors Hospital of Augusta,1718,3651 Wheeler Rd,Augusta,GA,Warning Notice,2023-06
Doctors Hospital of Augusta,1718,3651 Wheeler Rd,Augusta,GA,Closure Notice,2023-10
Doctors Hospital Of Laredo,1724,10700 McPherson Road,Laredo,TX,Met Requirements,2023-01
Dominican Hospital,1737,1555 Soquel Drive,Santa Cruz,CA,Met Requirements,2022-12
Dover Behavioral Health System,1748,725 Horsepond Rd,Dover,DE,Warning Notice,2023-03
Dover Behavioral Health System,1748,725 Horsepond Rd,Dover,DE,CAP Request,2023-06
Dover Behavioral Health System,1748,725 Horsepond Rd,Dover,DE,Closure Notice,2023-10
Dover Emergency Room,1749,10 Central Avenue,Dover,NH,Met Requirements,2023-10
Driscoll Children's Hospital,1758,3533 South Alameda Street,Corpus Christi,TX,Warning Notice,2023-05
Driscoll Children's Hospital,1758,3533 South Alameda Street,Corpus Christi,TX,Closure Notice,2023-11
Duke University Hospital,1766,2301 Erwin Rd,Durham,NC,Warning Notice,2023-03
Duke University Hospital,1766,2301 Erwin Rd,Durham,NC,Closure Notice,2023-09
East Carroll Parish Hospital,1778,336 N Hood St,Lake Providence,LA,Warning Notice,2023-02
East Carroll Parish Hospital,1778,336 N Hood St,Lake Providence,LA,CAP Request,2023-05
East Carroll Parish Hospital,1778,336 N Hood St,Lake Providence,LA,Closure Notice,2023-07
East Georgia Regional Medical Center,1782,1499 Fair Road,Statesboro,GA,Met Requirements,2023-01
Eastern Idaho Regional Medical Center,4428,3100 Channing Way,Idaho Falls,ID,Met Requirements,2023-12
ECU Health Medical Center f.k.a. Vidant Medical Center,7267,2100 Stantonsburg Road,Greenville,NC,Warning Notice,2022-12
ECU Health Medical Center f.k.a. Vidant Medical Center,7267,2100 Stantonsburg Road,Greenville,NC,Closure Notice,2023-04
Eden Medical Center,1822,20103 Lake Chabot Road,Castro Valley,CA,Warning Notice,2021-07
Eden Medical Center,1822,20103 Lake Chabot Road,Castro Valley,CA,Closure Notice,2022-01
Edward Hospital - Main Campus,1832,801 South Washington,Naperville,IL,Warning Notice,2021-09
Edward Hospital - Main Campus,1832,801 South Washington,Naperville,IL,Closure Notice,2022-06
Einstein Medical Center Philadelphia,103,5501 Old York Road,Philadelphia,PA,Warning Notice,2021-06
Einstein Medical Center Philadelphia,103,5501 Old York Road,Philadelphia,PA,Closure Notice,2021-12
El Camino Hospital Los Gatos,1845,815 Pollard Road,Los Gatos,CA,Warning Notice,2021-06
El Camino Hospital Los Gatos,1845,815 Pollard Road,Los Gatos,CA,CAP Request,2021-12
El Camino Hospital Los Gatos,1845,815 Pollard Road,Los Gatos,CA,Closure Notice,2022-03
El Centro Regional Medical Center,1847,1415 Ross Avenue,El Centro,CA,Warning Notice,2023-01
El Centro Regional Medical Center,1847,1415 Ross Avenue,El Centro,CA,Closure Notice,2023-05
Electra Memorial Hospital,1856,1207 S. Bailey Street,Electra,TX,Warning Notice,2023-01
Electra Memorial Hospital,1856,1207 S. Bailey Street,Electra,TX,Closure Notice,2023-04
Ellinwood District Hospital,1864,605 N Main Street,Ellinwood,KS,Warning Notice,2023-01
Ellinwood District Hospital,1864,605 N Main Street,Ellinwood,KS,Closure Notice,2023-11
Elliot Hospital,1865,One Elliot Way,Manchester,NH,Warning Notice,2021-09
Elliot Hospital,1865,One Elliot Way,Manchester,NH,Closure Notice,2022-07
Elmhurst Hospital,1874,155 East Brush Hill Road,Elmhurst,IL,Warning Notice,2023-05
Elmhurst Hospital,1874,155 East Brush Hill Road,Elmhurst,IL,Closure Notice,2023-10
Elmhurst Hospital Center,1873,79-01 Broadway,Elmhurst,NY,Warning Notice,2021-08
Elmhurst Hospital Center,1873,79-01 Broadway,Elmhurst,NY,CAP Request,2021-09
Elmhurst Hospital Center,1873,79-01 Broadway,Elmhurst,NY,Closure Notice,2022-01
Emanate Health Queen of the Valley Hospital (Citrus Valley Medical Center - Qv Campus),1279,1115 South Sunset Avenue,West Covina,CA,Warning Notice,2021-07
Emanate Health Queen of the Valley Hospital (Citrus Valley Medical Center - Qv Campus),1279,1115 South Sunset Avenue,West Covina,CA,CAP Request,2022-01
Emanate Health Queen of the Valley Hospital (Citrus Valley Medical Center - Qv Campus),1279,1115 South Sunset Avenue,West Covina,CA,Closure Notice,2022-04
Emory Decatur Hospital,1885,2701 N Decatur Road,Decatur,GA,Warning Notice,2023-06
Emory Decatur Hospital,1885,2701 N Decatur Road,Decatur,GA,Closure Notice,2023-09
Emory Johns Creek Hospital,1888,6325 Hospital Parkway,Johns Creek,GA,Warning Notice,2021-06
Emory Johns Creek Hospital,1888,6325 Hospital Parkway,Johns Creek,GA,Closure Notice,2021-12
Emory Saint Joseph's Hospital,5729,"550 Peachtree Street, Ne",Atlanta,GA,Warning Notice,2023-07
Emory Saint Joseph's Hospital,5729,"550 Peachtree Street, Ne",Atlanta,GA,CAP Request,2023-10
Emory Saint Joseph's Hospital,5729,"550 Peachtree Street, Ne",Atlanta,GA,Closure Notice,2023-11
Emory University Hospital,1892,1364 Clifton Road Ne,Druid Hills,GA,Warning Notice,2021-06
Emory University Hospital,1892,1364 Clifton Road Ne,Druid Hills,GA,Closure Notice,2021-12
Encompass Health Rehabilitation Hospital Of Concord,1914,254 Pleasant Street,Concord,NH,Met Requirements,2022-12
Encompass Health Rehabilitation Hospital Of Desert Canyon,1934,9175 West Oquendo Road,Las Vegas,NV,Met Requirements,2022-12
Encompass Health Rehabilitation Hospital Of Henderson,1939,10301 Jeffreys Street,Henderson,NV,Met Requirements,2022-11
Encompass Health Rehabilitation Hospital Of Largo,1943,901 Clearwater Largo Road North,Largo,FL,Met Requirements,2022-12
Encompass Health Rehabilitation Hospital Of Las Vegas,1944,1250 S Valley View Blvd,Las Vegas,NV,Met Requirements,2022-11
Encompass Health Rehabilitation Hospital of Middletown,2580,250 East Hampden Rd,Middletown,DE,Met Requirements,2022-12
Encompass Health Rehabilitation Hospital Of Sarasota,1962,6400 Edgelake Dr,Sarasota,FL,Met Requirements,2022-12
Englewood Hospital And Medical Center,1990,350 Engle Street,Englewood,NJ,Warning Notice,2021-07
Englewood Hospital And Medical Center,1990,350 Engle Street,Englewood,NJ,CAP Request,2022-01
Englewood Hospital And Medical Center,1990,350 Engle Street,Englewood,NJ,Closure Notice,2023-03
Enloe Medical Center,1992,1531 Esplanade,Chico,CA,Warning Notice,2023-02
Enloe Medical Center,1992,1531 Esplanade,Chico,CA,CAP Request,2023-06
Enloe Medical Center,1992,1531 Esplanade,Chico,CA,Closure Notice,2023-08
Essentia Health Saint Mary's Medical Center,2008,407 East Third Street,Duluth,MN,Met Requirements,2023-01
Eureka Springs Hospital,2026,24 Norris Street,Eureka Springs,AR,Warning Notice,2023-04
Eureka Springs Hospital,2026,24 Norris Street,Eureka Springs,AR,CAP Request,2023-07
Eureka Springs Hospital,2026,24 Norris Street,Eureka Springs,AR,Closure Notice,2023-08
Evanston Hospital,4532,2650 Ridge Avenue,Evanston,IL,Warning Notice,2021-08
Evanston Hospital,4532,2650 Ridge Avenue,Evanston,IL,CAP Request,2022-05
Evanston Hospital,4532,2650 Ridge Avenue,Evanston,IL,Closure Notice,2022-10
Excela Westmoreland Hospital,2040,532 West Pittsburgh Street,Greensburg,PA,Warning Notice,2021-07
Excela Westmoreland Hospital,2040,532 West Pittsburgh Street,Greensburg,PA,Closure Notice,2022-01
Exeter Hospital,2042,5 Alumni Drive,Exeter,NH,Met Requirements,2022-12
Fairbanks Memorial Hospital,2048,1650 Cowles Street,Fairbanks,AK,Met Requirements,2023-07
Fairfax Behavioral Health,718,10200 NE 132nd St,Kirkland,WA,Warning Notice,2023-04
Fairfax Behavioral Health,718,10200 NE 132nd St,Kirkland,WA,Closure Notice,2023-07
Fairview Park Hospital,2064,200 Industrial Boulevard,Dublin,GA,Warning Notice,2023-06
Fairview Park Hospital,2064,200 Industrial Boulevard,Dublin,GA,Closure Notice,2023-11
Faith Community Hospital,2068,215 Chisholm Trail,Jacksboro,TX,Warning Notice,2023-02
Faith Community Hospital,2068,215 Chisholm Trail,Jacksboro,TX,Closure Notice,2023-06
Falls Community Hospital & Clinic,2076,322 Coleman Street,Marlin,TX,Warning Notice,2023-01
Falls Community Hospital & Clinic,2076,322 Coleman Street,Marlin,TX,CAP Request,2023-04
Falls Community Hospital & Clinic,2076,322 Coleman Street,Marlin,TX,CMP Notice,2023-07
Falls Community Hospital & Clinic,2076,322 Coleman Street,Marlin,TX,Closure Notice,2023-10
Fannin Regional Hospital,2078,2855 Old Highway 5,Blue Ridge,GA,Warning Notice,2023-08
Fannin Regional Hospital,2078,2855 Old Highway 5,Blue Ridge,GA,Closure Notice,2023-12
FHN Memorial Hospital,2095,1045 W. Stephenson Street,Freeport,IL,Met Requirements,2023-01
Flaget Memorial Hospital,2121,4305 New Shepherdsville Road,Bardstown,KY,Warning Notice,2021-10
Flaget Memorial Hospital,2121,4305 New Shepherdsville Road,Bardstown,KY,Closure Notice,2022-07
Flagler Hospital,2122,400 Health Park Blvd,Saint Augustine,FL,Warning Notice,2023-01
Flagler Hospital,2122,400 Health Park Blvd,Saint Augustine,FL,CAP Request,2023-04
Flagler Hospital,2122,400 Health Park Blvd,Saint Augustine,FL,Closure Notice,2023-06
Flagstaff Medical Center,2123,1200 N Beaver St,Flagstaff,AZ,Warning Notice,2023-01
Flagstaff Medical Center,2123,1200 N Beaver St,Flagstaff,AZ,Closure Notice,2023-05
Flint River Hospital,2126,509 Sumter Street,Montezuma,GA,Warning Notice,2023-03
Flint River Hospital,2126,509 Sumter Street,Montezuma,GA,CAP Request,2023-06
Flint River Hospital,2126,509 Sumter Street,Montezuma,GA,Closure Notice,2023-09
Florence Hospital,2129,4545 North Hunt Highway,Florence,AZ,Met Requirements,2023-02
Flowers Hospital,2134,4370 West Main Street,Dothan,AL,Warning Notice,2023-01
Flowers Hospital,2134,4370 West Main Street,Dothan,AL,Closure Notice,2023-04
Floyd County Medical Center ,2136,800 11th Street,Charles City,IA,Warning Notice,2023-02
Floyd County Medical Center ,2136,800 11th Street,Charles City,IA,CAP Request,2023-05
Floyd County Medical Center ,2136,800 11th Street,Charles City,IA,Closure Notice,2023-07
Floyd Medical Center,2138,306 Shorter Avenue,Rome,GA,Warning Notice,2023-04
Floyd Medical Center,2138,306 Shorter Avenue,Rome,GA,CAP Request,2023-08
Floyd Medical Center,2138,306 Shorter Avenue,Rome,GA,Closure Notice,2023-09
Forks Community Hospital,2149,530 Bogachiel Way,Forks,WA,Warning Notice,2023-01
Forks Community Hospital,2149,530 Bogachiel Way,Forks,WA,Closure Notice,2023-04
Forrest General Hospital,2151,6051 U. S. Highway 49,Hattiesburg,MS,Warning Notice,2023-04
Forrest General Hospital,2151,6051 U. S. Highway 49,Hattiesburg,MS,CAP Request,2023-08
Forrest General Hospital,2151,6051 U. S. Highway 49,Hattiesburg,MS,Closure Notice,2023-09
Fort Sanders Regional Medical Center,2161,1901 Clinch Avenue,Knoxville,TN,Warning Notice,2021-06
Fort Sanders Regional Medical Center,2161,1901 Clinch Avenue,Knoxville,TN,Closure Notice,2021-12
Foundation Surgical Hospital Of El Paso,2166,1416 George Dieter,El Paso,TX,Warning Notice,2023-01
Foundation Surgical Hospital Of El Paso,2166,1416 George Dieter,El Paso,TX,Met Requirements,2023-05
Frances Mahon Deaconess Hospital,2175,621 3rd Street South,Glasgow,MT,Met Requirements,2023-01
Franciscan Health Indianapolis,2187,8111 S Emerson Ave,Indianapolis,IN,Met Requirements,2023-03
Fredonia Regional Hospital,2206,1527 Madison Street,Fredonia,KS,Met Requirements,2023-01
Freeman Hospital West,2209,1102 West 32nd Street,Joplin,MO,Warning Notice,2023-01
Freeman Hospital West,2209,1102 West 32nd Street,Joplin,MO,Closure Notice,2023-05
French Hospital Medical Center,2215,1911 Johnson Avenue,San Luis Obispo,CA,Met Requirements,2022-12
Fresno Surgical Hospital,2217,6125 North Fresno Street,Fresno,CA,Warning Notice,2023-04
Fresno Surgical Hospital,2217,6125 North Fresno Street,Fresno,CA,Closure Notice,2023-07
Froedtert Hospital,2221,9200 W Wisconsin Ave,Milwaukee,WI,Met Requirements,2023-05
Frye Regional Medical Center,2224,420 North Center St,Hickory,NC,Warning Notice,2021-10
Frye Regional Medical Center,2224,420 North Center St,Hickory,NC,Closure Notice,2022-03
Gadsden Regional Medical Center,2232,1007 Goodyear Avenue,Gadsden,AL,Met Requirements,2022-12
Garfield Medical Center,2242,525 North Garfield Avenue,Monterey Park,CA,Met Requirements,2023-09
Gateway Regional Medical Center,2371,2100 Madison Avenue,Granite City,IL,Warning Notice,2023-04
Gateway Regional Medical Center,2371,2100 Madison Avenue,Granite City,IL,CAP Request,2023-07
Gateway Regional Medical Center,2371,2100 Madison Avenue,Granite City,IL,Closure Notice,2023-12
Geisinger Community Medical Center,2333,1800 Mulberry Street,Scranton,PA,Met Requirements,2023-07
Geisinger Medical Center,2329,100 North Academy Avenue,Danville,PA,Warning Notice,2021-09
Geisinger Medical Center,2329,100 North Academy Avenue,Danville,PA,Closure Notice,2022-06
Genesis Hospital,2345,2951 Maple Avenue,Zanesville,OH,CAP Request,2023-07
Genesis Hospital,2345,2951 Maple Avenue,Zanesville,OH,Closure Notice,2023-11
Gerald Champion Regional Medical Center,2263,2669 North Scenic Drive,Alamogordo,NM,Warning Notice,2021-05
Gerald Champion Regional Medical Center,2263,2669 North Scenic Drive,Alamogordo,NM,CAP Request,2021-10
Gerald Champion Regional Medical Center,2263,2669 North Scenic Drive,Alamogordo,NM,Closure Notice,2022-07
Gifford Medical Center,2266,44 South Main St,Randolph,VT,Warning Notice,2023-06
Gifford Medical Center,2266,44 South Main St,Randolph,VT,CAP Request,2023-09
Gifford Medical Center,2266,44 South Main St,Randolph,VT,Closure Notice,2023-10
Glacial Ridge Health System,2274,10 Fourth Avenue SE,Glenwood,MN,Warning Notice,2023-04
Glacial Ridge Health System,2274,10 Fourth Avenue SE,Glenwood,MN,CAP Request,2023-07
Glacial Ridge Health System,2274,10 Fourth Avenue SE,Glenwood,MN,Closure Notice,2023-09
Glen Cove Hospital,2276,101 St. Andrews Lane,Glen Cove,NY,Warning Notice,2021-08
Glen Cove Hospital,2276,101 St. Andrews Lane,Glen Cove,NY,CAP Request,2022-05
Glen Cove Hospital,2276,101 St. Andrews Lane,Glen Cove,NY,Closure Notice,2023-05
Glendale Memorial Hospital & Health Center,2282,1420 South Central Avenue,Glendale,CA,Warning Notice,2021-07
Glendale Memorial Hospital & Health Center,2282,1420 South Central Avenue,Glendale,CA,CAP Request,2022-01
Glendale Memorial Hospital & Health Center,2282,1420 South Central Avenue,Glendale,CA,Closure Notice,2022-03
Glenn Medical Center,2285,1133 West Sycamore Street,Willows,CA,Met Requirements,2023-05
Gonzales Memorial Hospital,3862,1110 N Sarah Dewitt Drive,Gonzales,TX,Warning Notice,2023-04
Gonzales Memorial Hospital,3862,1110 N Sarah Dewitt Drive,Gonzales,TX,Closure Notice,2023-05
Good Samaritan Hospital,2302,2425 Samaritan Drive,San Jose,CA,Warning Notice,2021-05
Good Samaritan Hospital,2302,2425 Samaritan Drive,San Jose,CA,CAP Request,2021-10
Good Samaritan Hospital,2302,2425 Samaritan Drive,San Jose,CA,Closure Notice,2023-07
Good Samaritan Hospital - Bakersfield,2300,901 Olive Drive,Bakersfield,CA,Warning Notice,2023-02
Good Samaritan Hospital - Bakersfield,2300,901 Olive Drive,Bakersfield,CA,CAP Request,2023-06
Good Samaritan Hospital - Bakersfield,2300,901 Olive Drive,Bakersfield,CA,Closure Notice,2023-07
Gottlieb Memorial Hospital,2320,701 West North Ave,Melrose Park,IL,Met Requirements,2023-05
Gracie Square Hospital,2355,"420 E 76th St, 2nd, 3rd, 4th & 5th Floors",New York,NY,Warning Notice,2021-07
Gracie Square Hospital,2355,"420 E 76th St, 2nd, 3rd, 4th & 5th Floors",New York,NY,CAP Request,2022-10
Gracie Square Hospital,2355,"420 E 76th St, 2nd, 3rd, 4th & 5th Floors",New York,NY,Closure Notice,2022-12
Grady Memorial Hospital,2357,80 Jesse Hill Jr Drive SE,Atlanta,GA,Warning Notice,2023-05
Grady Memorial Hospital,2357,80 Jesse Hill Jr Drive SE,Atlanta,GA,Closure Notice,2023-09
Graham County Hospital,2361,304 West Prout Street,Hill City,KS,Warning Notice,2023-01
Graham County Hospital,2361,304 West Prout Street,Hill City,KS,Closure Notice,2023-05
Grand Strand Medical Center,2366,809 82nd Pkwy,Myrtle Beach,SC,Warning Notice,2023-06
Grand Strand Medical Center,2366,809 82nd Pkwy,Myrtle Beach,SC,Closure Notice,2023-12
Grandview Medical Center,2370,3690 Grandview Parkway,Birmingham,AL,Met Requirements,2022-12
Granite County Medical Center,2372,310 South Sansome Street,Philipsburg,MT,Met Requirements,2023-12
Great Plains Health,2381,601 West Leota St,North Platte,NE,Warning Notice,2023-01
